Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
29,Laird  Rory,22,262,67,375,637,28.95,3,10,,175,34,84,140,82,40,34,20,304,342,1,3,22,5,11,79.2,0/1,Adelaide
12,Dawson  Jordan,23,401,114,222,623,27.09,6,15,,153,52,130,88,87,38,27,20,216,386,13,7,39,13,20,86,,Adelaide
33,Smith  Brodie,22,334,109,132,466,21.18,4,4,,50,107,76,26,61,9,13,1,119,292,7,4,34,1,5,85.7,,Adelaide
2,Keays  Ben,23,218,72,223,441,19.17,22,19,,87,18,78,59,65,14,17,2,180,241,,14,25,,16,84,,Adelaide
30,Milera  Wayne,22,247,96,186,433,19.68,3,,,43,83,42,15,51,13,11,,121,280,11,,37,3,5,81.4,,Adelaide
20,Hinge  Mitch,22,313,104,119,432,19.64,1,4,,46,106,48,12,57,22,13,,141,259,9,1,60,1,4,82.3,0/1,Adelaide
9,Sloane  Rory,22,212,69,187,399,18.14,6,2,1,113,23,63,83,64,19,29,2,183,214,7,5,37,1,8,65.2,2-Jan,Adelaide
14,Soligo  Jake,21,209,74,138,347,16.52,10,11,,65,36,45,54,57,11,16,1,148,214,3,14,23,6,9,76.7,0/3,Adelaide
4,Murphy  Lachlan,22,190,67,139,329,14.95,12,8,,67,10,80,49,54,25,16,,142,192,3,9,25,10,13,78.2,,Adelaide
8,Rachele  Josh,21,204,81,117,321,15.29,23,25,,70,14,56,30,62,22,15,,111,212,4,22,18,10,14,76.4,1/0,Adelaide
22,Rankine  Izak,20,197,74,121,318,15.9,36,27,,64,4,64,38,70,14,28,7,156,160,8,33,18,15,15,90.4,,Adelaide
1,Jones  Chayce,18,216,46,98,314,17.44,7,5,,49,54,45,40,38,13,9,,111,176,2,4,29,2,9,81.8,1-Jan,Adelaide
43,OBrien  Reilly,23,117,66,169,286,12.43,4,4,888,72,18,29,66,69,21,26,3,174,91,32,6,84,,9,81.3,0/1,Adelaide
13,Walker  Taylor,22,226,124,60,286,13,76,34,55,29,,53,21,68,18,27,16,138,150,41,63,27,1,16,82.9,,Adelaide
38,Sholl  Lachlan,16,175,78,100,275,17.19,4,5,,31,32,32,22,32,5,11,,79,202,1,5,3,3,6,80.6,1/0,Adelaide
10,Pedlar  Luke,21,173,72,76,249,11.86,25,15,,55,4,52,29,66,26,25,,115,146,3,22,19,2,13,74.5,1/0,Adelaide
32,Fogarty  Darcy,21,157,102,80,237,11.29,34,23,1,41,1,41,8,50,11,24,3,102,139,24,42,24,2,16,84.7,,Adelaide
16,Michalanney  Max,22,159,80,78,237,10.77,,,,75,49,22,6,39,15,12,,74,156,8,1,63,,2,82.9,,Adelaide
7,Thilthorpe  Riley,21,126,74,97,223,10.62,18,9,116,31,7,38,25,53,16,19,2,134,88,38,19,41,,9,65.8,2/0,Adelaide
5,Crouch  Matt,7,55,18,132,187,26.71,2,,,35,4,22,45,20,11,7,,77,106,,1,7,1,1,68,1/0,Adelaide
24,Worrell  Josh,12,127,47,48,175,14.58,,,,25,56,24,5,25,9,6,,72,89,6,,67,,2,83.1,0/1,Adelaide
28,Murray  Nick,17,114,67,52,166,9.76,,1,,12,59,15,4,18,4,7,,65,88,16,1,137,,1,79.6,0/4,Adelaide
39,Doedee  Tom,11,92,49,73,165,15,,,,15,32,10,4,22,6,8,,50,109,5,,64,,,86.7,0/1,Adelaide
26,Schoenberg  Harry,11,76,29,73,149,13.55,2,4,,27,10,27,26,24,6,11,,53,89,1,3,7,3,4,58.7,3/0,Adelaide
41,Butts  Jordon,17,85,56,58,143,8.41,,,,16,40,3,1,27,10,15,,48,90,5,,86,,,77.7,0/5,Adelaide
25,McHenry  Ned,11,75,39,56,131,11.91,4,,,13,7,20,4,30,8,16,,40,95,,3,5,1,7,48.7,7/0,Adelaide
23,McAdam  Shane,7,38,30,30,68,9.71,12,4,,23,1,9,,11,4,6,,25,46,4,15,12,1,4,74.4,0/1,Adelaide
48,Keane  Mark,5,46,29,21,67,13.4,,,,3,16,5,,19,4,9,,27,37,8,,27,2,,93.2,,Adelaide
27,Nankervis  Luke,4,36,18,18,54,13.5,,,,13,7,7,3,7,,1,,14,38,1,,3,1,2,77,,Adelaide
37,Parnell  Patrick,5,37,17,16,53,10.6,,,,6,6,7,2,7,3,1,,12,40,1,,3,,,49.6,1-Jan,Adelaide
3,Berry  Sam,4,27,6,13,40,10,,1,,19,5,7,8,7,4,3,,21,23,,,2,,1,64.8,1-Jan,Adelaide
44,Gollant  Lachlan,4,28,16,10,38,9.5,4,6,2,7,1,13,2,5,8,3,,16,22,2,5,10,,1,78.5,,Adelaide
35,Borlase  James,4,20,15,12,32,8,,,,7,4,2,1,5,5,2,,14,21,2,,29,,,80.3,0/1,Adelaide
34,Himmelberg  Elliott,3,18,11,8,26,8.67,1,,14,4,1,6,2,3,2,1,,13,13,4,,6,,2,73,,Adelaide
15,Cook  Brayden,1,10,5,6,16,16,,1,,2,4,2,2,1,,1,,4,14,,1,1,,1,84,,Adelaide
6,Hately  Jackson,1,,1,4,4,4,,,,,,,1,1,,1,,1,3,,,1,,,26,1/0,Adelaide
21,Brown  Tyler,1,,,1,1,1,,,,3,,,,2,1,1,,2,,,,,,,29,1/0,Adelaide
9,Neale  Lachie,26,311,109,383,694,26.69,3,11,,106,33,96,205,78,40,20,31,353,335,,3,23,6,11,86.6,,Brisbane Lions
5,Dunkley  Josh,24,261,120,321,582,24.25,2,7,,165,27,58,119,67,39,13,4,302,295,11,5,52,,13,80.7,0/1,Brisbane Lions
6,McCluggage  Hugh,25,327,117,231,558,22.32,13,13,,91,35,116,96,81,19,16,3,237,331,3,10,15,5,30,80.8,,Brisbane Lions
7,Berry  Jarrod,25,268,119,172,440,17.6,10,5,,64,58,81,50,52,21,13,1,155,292,5,11,31,,8,76.3,0/2,Brisbane Lions
26,McKenna  Conor,26,358,95,81,439,16.88,7,5,,38,104,69,17,78,10,12,,88,288,2,4,46,16,8,81.6,,Brisbane Lions
44,Wilmot  Darcy,26,297,107,109,406,15.62,5,4,,43,75,46,24,57,20,17,,130,246,5,6,48,12,8,77.5,,Brisbane Lions
33,Bailey  Zac,24,254,76,148,402,16.75,29,19,,72,21,97,60,84,14,25,5,158,246,2,16,24,,20,80.1,,Brisbane Lions
8,Ashcroft  Will,18,200,61,198,398,22.11,8,6,,63,28,52,64,41,19,4,10,147,247,1,1,12,2,10,75.7,0/1,Brisbane Lions
18,Coleman  Keidean,23,306,120,86,392,17.04,2,4,,62,70,72,22,56,26,14,3,105,257,9,2,62,5,6,72.4,1-Jan,Brisbane Lions
3,Daniher  Joe,26,316,154,72,388,14.92,61,37,48,20,6,101,46,91,28,36,12,181,206,44,65,39,7,13,88.5,,Brisbane Lions
15,Zorko  Dayne,20,272,118,106,378,18.9,8,8,,71,32,82,44,63,18,17,,112,252,1,8,23,2,16,73.3,0/4,Brisbane Lions
31,Andrews  Harris,26,281,203,88,369,14.19,1,,,31,89,19,4,50,25,17,8,127,231,41,,275,3,2,97.8,,Brisbane Lions
16,Rayner  Cam,26,215,102,153,368,14.15,23,17,,58,19,71,41,67,17,19,2,146,224,14,19,29,4,16,79.5,,Brisbane Lions
46,McInerney  Oscar,25,173,44,137,310,12.4,9,7,845,72,27,69,140,76,24,25,,247,65,22,11,82,,3,82.6,,Brisbane Lions
37,Starcevich  Brandon,26,233,116,72,305,11.73,1,,,40,62,30,8,56,17,22,,106,184,16,,55,1,2,85.2,,Brisbane Lions
11,McCarthy  Lincoln,24,188,62,93,281,11.71,28,11,,72,6,75,27,61,17,22,,122,151,9,18,30,,15,78.4,,Brisbane Lions
35,Lester  Ryan,19,197,119,71,268,14.11,1,1,,38,38,25,2,27,18,10,,82,182,13,,77,,,87.3,,Brisbane Lions
23,Cameron  Charlie,26,196,88,61,257,9.88,59,27,,76,11,55,18,49,23,16,8,115,146,13,54,30,3,17,82.1,,Brisbane Lions
30,Hipwood  Eric,26,200,140,57,257,9.88,41,29,5,49,,56,1,71,22,27,1,95,167,27,69,44,2,23,84.1,,Brisbane Lions
40,Payne  Jack,23,177,124,48,225,9.78,,,,20,81,15,1,47,10,12,,72,154,17,,135,,1,91.3,,Brisbane Lions
19,Gunston  Jack,17,134,88,36,170,10,22,14,,16,9,35,1,34,8,8,3,61,111,15,26,19,,5,75.4,0/3,Brisbane Lions
28,Fletcher  Jaspa,14,102,65,63,165,11.79,8,6,,17,15,28,15,19,3,6,,56,108,4,4,5,6,4,67.1,1-Feb,Brisbane Lions
2,Robertson  Deven,16,71,34,73,144,9,3,2,,42,6,18,25,29,9,11,,69,74,2,3,18,,4,58.1,4-Jan,Brisbane Lions
10,Rich  Daniel,7,113,38,24,137,19.57,2,,,2,47,18,14,15,6,5,1,25,75,,,12,,1,72.1,0/1,Brisbane Lions
4,Ah Chee  Callum,12,81,42,45,126,10.5,6,5,,27,8,19,10,26,9,14,,57,74,9,8,15,1,5,60,2-Mar,Brisbane Lions
17,Lyons  Jarryd,10,47,12,46,93,9.3,2,1,,24,5,15,19,6,7,,,43,53,1,3,2,,3,34,7-Jan,Brisbane Lions
32,Fort  Darcy,7,37,12,22,59,8.43,1,3,90,11,4,13,13,16,4,7,,43,18,6,6,10,,4,59.1,2-Feb,Brisbane Lions
41,Joyce  Darragh,5,37,25,6,43,8.6,,,,2,13,1,,14,4,10,,16,28,4,,20,,,84.4,0/1,Brisbane Lions
20,Prior  Jaxon,5,36,14,7,43,8.6,1,1,,11,6,4,3,9,3,1,,12,28,,,10,,,63.8,1/0,Brisbane Lions
1,Lohmann  Kai,6,24,11,18,42,7,1,4,,11,2,8,2,7,2,1,,15,27,1,3,,,2,39.7,3-Jan,Brisbane Lions
22,Sharp  Harry,3,34,13,6,40,13.33,2,,,5,2,10,3,11,2,3,,12,29,,,3,,,67.7,0/1,Brisbane Lions
27,Gardiner  Darcy,4,22,12,12,34,8.5,,,,10,3,4,2,4,6,3,,19,16,1,,26,,1,90.3,,Brisbane Lions
43,Answerth  Noah,4,18,10,14,32,8,,,,11,2,7,,3,3,2,,12,20,,,3,,,32.3,3/0,Brisbane Lions
29,Tunstill  James,2,5,2,7,12,6,,,,,,3,1,1,,1,,6,6,,,,,,36,1-Jan,Brisbane Lions
14,Madden  James,2,5,,2,7,3.5,,,,4,1,3,1,1,1,,,2,5,,,1,1,1,49,1/0,Brisbane Lions
9,Cripps  Patrick,24,226,51,370,596,24.83,9,14,3,130,14,84,162,94,37,33,22,327,274,8,7,27,3,17,80.6,,Carlton
15,Docherty  Sam,23,359,138,227,586,25.48,8,9,,90,80,74,52,72,17,10,7,137,433,2,6,20,11,15,83.8,0/1,Carlton
13,Acres  Blake,25,319,137,257,576,23.04,10,5,,62,71,90,57,101,15,16,3,188,392,13,12,42,4,12,84.3,0/1,Carlton
24,Newman  Nic,24,376,183,185,561,23.38,3,3,,85,88,48,22,81,23,27,3,156,375,7,1,60,14,2,87.6,,Carlton
5,Cerra  Adam,22,275,74,285,560,25.45,9,7,,106,27,112,98,66,43,19,2,222,349,3,8,36,6,13,74.2,0/1,Carlton
18,Walsh  Sam,18,222,63,292,514,28.56,6,4,,87,25,86,69,75,19,27,5,196,325,2,4,10,8,18,78.6,,Carlton
42,Saad  Adam,25,341,111,161,502,20.08,,,,48,120,53,23,51,10,7,3,156,287,9,,69,55,1,80.6,0/1,Carlton
29,Hewett  George,22,182,49,263,445,20.23,3,1,,102,24,58,78,46,22,15,5,209,240,3,6,8,2,7,65.6,3-Jan,Carlton
23,Weitering  Jacob,26,317,208,85,402,15.46,,,,23,129,17,7,50,20,7,6,145,258,48,,181,6,,98.7,,Carlton
11,McGovern  Mitch,22,297,105,82,379,17.23,2,2,,54,116,32,3,60,16,16,,96,186,22,,73,,3,75.5,0/1,Carlton
30,Curnow  Charlie,26,280,180,76,356,13.69,81,44,3,27,2,92,4,61,39,21,17,179,177,67,73,56,1,19,93.7,0/1,Carlton
7,Kennedy  Matthew,16,157,58,134,291,18.19,5,6,,48,19,49,50,35,12,11,,123,165,3,4,9,,8,64.1,3-Jan,Carlton
17,Kemp  Brodie,17,182,113,87,269,15.82,1,,,28,51,21,2,40,5,7,,76,185,22,,77,2,2,91.7,,Carlton
14,Hollands  Oliver,19,163,58,103,266,14,2,4,,48,25,42,22,43,13,9,,77,199,1,5,34,1,7,75.3,1-Feb,Carlton
25,Fisher  Zac,12,135,40,115,250,20.83,4,5,,16,25,21,19,33,7,9,,66,180,,3,18,1,2,76.9,,Carlton
10,McKay  Harry,21,190,141,57,247,11.76,29,29,18,34,1,51,6,52,32,19,2,118,135,47,51,40,2,11,86.1,0/2,Carlton
46,Cottrell  Matthew,17,160,72,78,238,14,11,11,,34,21,43,11,31,9,5,,78,160,3,11,20,2,5,89.8,,Carlton
39,Cincotta  Alex,19,113,53,121,234,12.32,3,2,,35,31,35,15,31,9,14,,85,148,4,2,36,2,1,78.1,,Carlton
12,De Koning  Tom,19,114,54,114,228,12,9,7,337,47,16,46,67,68,27,30,,158,77,19,8,64,,4,78.4,,Carlton
35,Curnow  Ed,17,141,46,84,225,13.24,3,6,,43,15,33,20,31,4,11,,68,157,,4,8,1,10,65.8,5-Jan,Carlton
1,Silvagni  Jack,16,129,64,88,217,13.56,14,12,47,43,10,31,27,52,16,24,2,98,118,11,11,31,1,10,72.2,0/3,Carlton
3,Motlop  Jesse,21,123,38,86,209,9.95,24,7,,50,5,42,2,40,15,16,,85,124,4,11,7,5,7,70.6,1/0,Carlton
33,Young  Lewis,15,114,77,86,200,13.33,,2,60,16,43,12,7,35,7,9,,72,119,15,,127,,1,88.6,1-Jan,Carlton
27,Pittonet  Marc,18,89,24,82,171,9.5,,1,446,32,6,16,55,42,17,24,,114,56,7,1,45,,3,69.2,0/1,Carlton
28,Cuningham  David,12,64,26,102,166,13.83,6,4,,45,4,26,16,23,6,4,,58,112,1,9,8,5,6,72.8,0/2,Carlton
44,Owies  Matthew,18,107,48,54,161,8.94,27,12,,44,1,25,7,39,14,17,,72,96,2,29,18,1,10,71.7,0/1,Carlton
2,Dow  Paddy,10,96,15,63,159,15.9,2,1,,25,10,42,42,19,7,4,,64,94,1,,5,,6,53.5,5/0,Carlton
8,Fogarty  Lachie,12,77,28,72,149,12.42,4,4,,58,9,28,15,21,5,4,,59,91,,4,11,1,9,76.4,0/2,Carlton
21,Martin  Jack,13,75,46,67,142,10.92,17,10,,31,5,18,7,30,12,13,1,63,83,8,18,12,,5,71.9,0/2,Carlton
37,Boyd  Jordan,9,83,26,29,112,12.44,,2,,21,27,15,5,15,5,4,,31,75,1,,20,1,,82.1,,Carlton
22,Marchbank  Caleb,8,77,46,34,111,13.88,,,,16,15,8,,25,7,7,,35,77,5,,38,,2,77.5,1/0,Carlton
19,Durdin  Corey,11,66,16,31,97,8.82,11,7,,44,3,14,6,14,5,6,,41,56,,5,4,,3,74,,Carlton
26,Cowan  Lachlan,7,49,20,20,69,9.86,,,,13,10,9,,14,5,6,,21,49,2,,7,,,69.7,0/1,Carlton
36,Honey  Josh,6,27,14,17,44,7.33,3,3,,13,1,10,3,7,1,4,,14,32,,4,2,,2,66.8,1/0,Carlton
4,OBrien  Lochie,6,30,17,13,43,7.17,,1,,5,8,5,2,12,1,2,,11,30,1,,1,4,1,47.3,4/0,Carlton
20,Plowman  Lachie,1,9,5,3,12,12,,,,2,2,1,,2,2,1,,4,8,,,1,,,74,,Carlton
16,Carroll  Jack,1,1,,3,4,4,,,,1,,,1,,,,,2,2,,,,,,14,1/0,Carlton
35,Daicos  Nick,22,357,71,325,682,31,19,13,,84,75,83,88,67,27,13,28,197,404,,9,11,21,13,84.3,,Collingwood
7,Daicos  Josh,26,362,120,288,650,25,16,8,,59,61,86,79,81,25,16,8,197,441,,7,16,4,8,86.8,,Collingwood
6,Mitchell  Tom,26,250,79,400,650,25,7,1,,157,23,94,126,81,41,28,12,289,370,1,5,18,3,13,73.7,1-Feb,Collingwood
10,Pendlebury  Scott,25,305,89,266,571,22.84,9,3,,108,28,91,106,79,21,12,6,192,356,1,5,41,1,18,76.8,0/2,Collingwood
25,Crisp  Jack,26,294,98,261,555,21.35,10,8,,114,38,94,68,84,16,18,2,207,349,7,7,31,15,17,80,,Collingwood
2,de Goey  Jordan,21,257,77,245,502,23.9,18,9,,68,18,104,119,95,18,29,8,215,292,3,9,30,3,16,84.9,,Collingwood
9,Noble  John,23,322,123,148,470,20.43,3,1,,56,109,47,19,66,27,13,1,98,351,,1,28,12,5,80,,Collingwood
4,Maynard  Brayden,25,318,125,136,454,18.16,,5,,74,89,57,12,81,17,29,,127,298,10,,107,7,7,83.2,,Collingwood
13,Adams  Taylor,23,222,78,202,424,18.43,13,11,,105,5,87,85,88,25,33,5,182,247,1,12,18,3,25,76.3,,Collingwood
3,Quaynor  Isaac,26,250,143,171,421,16.19,,2,,68,97,33,12,46,17,6,2,145,263,19,2,67,5,3,83,,Collingwood
22,Sidebottom  Steele,20,257,85,160,417,20.85,4,2,,72,45,63,48,57,8,10,3,138,264,2,4,36,7,12,80.2,0/1,Collingwood
30,Moore  Darcy,24,253,137,121,374,15.58,,1,,22,121,30,2,64,22,24,3,150,150,47,,192,15,1,91.6,0/1,Collingwood
32,Hoskin-Elliott  Will,23,199,92,87,286,12.43,10,4,,47,28,47,13,38,8,2,,80,200,5,8,46,2,7,73.6,2-Jan,Collingwood
37,Markov  Oleg,23,151,83,128,279,12.13,1,2,,45,43,38,8,34,12,6,,82,200,2,2,39,17,4,69.1,5/0,Collingwood
5,Elliott  Jamie,24,170,110,101,271,11.29,39,28,,70,2,38,8,50,15,11,5,106,174,10,59,37,3,17,83.5,0/1,Collingwood
31,McCreery  Beau,25,170,67,84,254,10.16,17,12,,96,6,69,10,53,7,27,,77,163,3,11,18,20,15,71.1,1-Jan,Collingwood
14,Cameron  Darcy,19,139,65,110,249,13.11,5,6,490,61,16,18,60,56,37,24,,162,96,26,8,42,,4,74.2,0/2,Collingwood
1,Lipinski  Patrick,14,114,40,135,249,17.79,5,2,,47,15,39,28,43,8,9,,96,154,2,3,11,,8,79.5,1/0,Collingwood
41,Mihocek  Brody,24,189,114,60,249,10.38,47,26,,44,1,54,4,57,13,25,5,107,145,27,52,31,,11,90.3,0/1,Collingwood
23,Hill  Bobby,24,172,78,75,247,10.29,33,14,,56,4,54,6,45,13,15,,88,158,4,27,24,32,15,74.4,0/1,Collingwood
28,Murphy  Nathan,24,145,86,87,232,9.67,,,,46,60,8,2,56,28,21,1,99,137,14,,169,3,1,87.8,0/1,Collingwood
38,Howe  Jeremy,14,144,84,60,204,14.57,7,1,,26,58,11,3,16,5,3,,44,131,9,8,42,2,2,82.9,0/2,Collingwood
46,Cox  Mason,19,109,69,47,156,8.21,17,13,324,26,9,23,23,43,29,17,3,96,59,29,25,54,,7,66.4,1-Jan,Collingwood
17,Frampton  Billy,16,100,51,49,149,9.31,7,3,133,19,34,18,10,37,6,16,,54,95,10,4,83,1,,86,,Collingwood
33,Ginnivan  Jack,14,87,32,40,127,9.07,12,8,,16,4,27,7,24,5,5,1,47,76,1,13,11,,9,58.8,5/0,Collingwood
40,Johnson  Ash,15,83,53,38,121,8.07,21,10,15,23,1,21,2,34,10,17,,64,60,19,23,15,,6,70.9,0/3,Collingwood
11,McStay  Daniel,14,77,53,41,118,8.43,20,7,29,31,3,16,11,30,8,9,,59,58,19,25,29,,5,82.9,0/2,Collingwood
36,Harrison  Harvey,4,13,9,18,31,7.75,3,1,,9,2,5,,4,1,,,9,22,1,1,3,,2,63.8,1/0,Collingwood
26,McInnes  Reef,5,11,8,7,18,3.6,3,1,,3,,2,,8,1,,,11,8,2,3,3,,1,40.2,3-Jan,Collingwood
20,Kelly  Will,2,9,6,4,13,6.5,,,,2,,4,,4,,1,,6,8,,,1,,,43,2/0,Collingwood
21,Ruscoe  Trey,1,9,7,2,11,11,,,,2,4,2,,1,1,1,,5,6,2,,5,,1,86,,Collingwood
8,Bianco  Trent,1,7,3,2,9,9,,,,,1,1,,3,,,,1,9,,,1,,1,40,1/0,Collingwood
15,Kreuger  Nathan,2,2,1,5,7,3.5,,,,1,1,1,,3,,1,,3,4,,,1,,,26,0/2,Collingwood
18,Macrae  Finlay,1,,,7,7,7,,,,8,,,1,,1,,,4,5,,,,,,37,1/0,Collingwood
24,Ryan  Jakob,1,3,2,2,5,5,,,,,1,,,2,,,,2,3,,,,,,29,0/1,Collingwood
12,Wilson  Tom,1,2,2,3,5,5,,,,1,,2,,1,,,,1,4,,,,,,48,1/0,Collingwood
45,Carmichael  Josh,1,,,2,2,2,,,,1,,,,,,,,3,1,,,2,,,24,1/0,Collingwood
7,Merrett  Zach,22,336,112,298,634,28.82,8,10,,121,44,112,103,65,43,14,17,212,430,,5,42,8,16,84.3,,Essendon
3,Parish  Darcy,18,271,78,284,555,30.83,3,6,,77,39,109,139,76,19,14,15,252,308,1,5,13,3,8,80.4,,Essendon
1,McGrath  Andrew,23,289,120,235,524,22.78,,1,,47,124,41,11,38,11,5,2,113,360,3,,34,67,4,83.2,,Essendon
37,Martin  Nic,23,290,124,216,506,22,17,4,,50,59,63,31,69,18,13,10,160,348,5,13,39,14,22,89.8,,Essendon
27,Redman  Mason,23,380,138,124,504,21.91,7,5,,43,112,57,5,62,17,20,1,103,318,11,,53,11,5,81.9,,Essendon
21,Heppell  Dyson,22,253,156,190,443,20.14,1,,,50,64,33,7,44,15,11,,121,310,13,4,44,6,3,82.4,1-Jan,Essendon
6,Caldwell  Jye,21,183,71,208,391,18.62,11,12,,89,24,67,70,51,20,18,2,168,225,6,8,12,2,12,75.7,0/1,Essendon
22,Durham  Sam,22,178,107,185,363,16.5,5,2,,47,27,40,24,64,13,24,,137,237,9,8,34,5,5,81.9,,Essendon
8,Hobbs  Ben,18,195,72,159,354,19.67,6,4,,73,20,63,62,67,25,33,,135,224,2,6,10,3,5,69.3,1/0,Essendon
16,Perkins  Archie,23,219,95,132,351,15.26,18,13,,65,18,82,32,55,18,19,,125,233,7,16,16,3,10,79,,Essendon
14,Ridley  Jordan,17,259,126,86,345,20.29,1,1,,15,82,8,1,26,10,10,1,69,217,18,,86,11,1,82.3,0/2,Essendon
4,Langford  Kyle,23,218,130,96,314,13.65,51,23,,36,17,37,6,51,12,14,3,117,200,18,64,40,5,20,91.1,,Essendon
15,Laverde  Jayden,19,186,124,115,301,15.84,1,,,37,60,20,5,36,21,18,,86,211,10,1,74,2,1,85.2,0/2,Essendon
19,Hind  Nick,16,220,68,71,291,18.19,3,1,,24,58,28,10,34,3,6,,44,220,1,3,23,32,3,69.9,4/0,Essendon
30,Zerk-Thatcher  Brandon,22,164,120,103,267,12.14,,,,33,55,9,3,44,13,18,,109,159,16,,161,1,,91.1,,Essendon
29,Kelly  Jake,17,136,91,108,244,14.35,1,,,28,33,22,6,23,10,8,,72,173,3,1,44,,,88.9,,Essendon
25,Stringer  Jake,17,145,45,83,228,13.41,21,23,,51,7,56,45,52,10,15,3,121,119,7,16,17,,10,79.4,1/0,Essendon
